Product ID,ProductName,Describtion,Image,Price,link
1001,"Bluetooth Hat Beanie,Gifts for Men Women",Unique Tech Christmas Stocking Stuffer Gifts for Teenage Teen Boy Teen Girl Him Her,https://m.media-amazon.com/images/I/81xVeaRZIeL._AC_UX679_.jpg,$20.00,https://www.amazon.com/Bluetooth-Christmas-Stocking-Stuffer-Teenage/dp/B0B1HVVQRQ/ref=sr_1_15_sspa?crid=VPDL5DSRWJBS&keywords=mens%2Bgifts%2Bfor%2Bchristmas&qid=1671667439&sprefix=mens%2B%2Caps%2C125&sr=8-15-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExUUpHUzVBSTg0QUZZJmVuY3J5cHRlZElkPUEwNjgyMDM3MVowT0RYWUdHVkc4SyZlbmNyeXB0ZWRBZElkPUEwNDcwMDE1M1FCT1g5M0FPOEJNMyZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU&th=1
1002,OLOV Electric Groin Hair Trimmer - Ball Trimmer for Men,"Nose Hair Trimmer, Replaceable Ceramic Blade Heads, USB Recharge Dock & Nosetrimmer Head, Waterproof Male Hygiene Razor",https://m.media-amazon.com/images/I/51rl6KyZuWL._AC_SX679_.jpg,$30.00,https://a.co/d/8I001JR
1003,Gildan Men's Ultra Cotton Long Sleeve T-Shirt,"Solids: 100% Cotton; Sport Grey: 90% Cotton, 10% Polyester; Safety Colors And Dark Heather: 50% Cotton, 50% Polyester",,$15.00,https://a.co/d/1Hk45Kq
